file_paths,targets
../PCB_imgs/all/resize/NG\Nick_49.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok_745.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (444).bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (222).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok (640).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_816.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (541).bmp.png,miboo
../PCB_imgs/all/resize/NG\Dust_2685.bmp.png,Dust_
../PCB_imgs/all/resize/NG\Dust_2298.bmp.png,Dust_
../PCB_imgs/all/resize/NG\eemool (24).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_954.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_389.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_173.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_340.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_214.bmp.png,OK
../PCB_imgs/all/resize/NG\nick (135).bmp.png,nick
../PCB_imgs/all/resize/OK\ok_958.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (888).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_81.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (869).bmp.png,miboo
../PCB_imgs/all/resize/NG\Dust_2046.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok (12).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_126.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (22).bmp.png,eemool
../PCB_imgs/all/resize/NG\Dust_2715.bmp.png,Dust_
../PCB_imgs/all/resize/NG\Nick_2421.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok_362.bmp.png,OK
../PCB_imgs/all/resize/NG\nick (63).bmp.png,nick
../PCB_imgs/all/resize/NG\Nick_2345.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok_336.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (1227).bmp.png,miboo
../PCB_imgs/all/resize/NG\Nick_2329.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok_291.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (328).bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2711.bmp.png,Dust_
../PCB_imgs/all/resize/NG\Dust_2689.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok_270.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (212).bmp.png,eemool
../PCB_imgs/all/resize/NG\eemool (215).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_236.bmp.png,OK
../PCB_imgs/all/resize/NG\nick (25).bmp.png,nick
../PCB_imgs/all/resize/OK\ok (9).bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_Nick_2064.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/NG\nick (85).bmp.png,nick
../PCB_imgs/all/resize/NG\Nick_2350.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok (577).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_343.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2035.bmp.png,Dust_
../PCB_imgs/all/resize/NG\Dust_3.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok_261.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (19).bmp.png,eemool
../PCB_imgs/all/resize/NG\eemool (146).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok (321).bmp.png,OK
../PCB_imgs/all/resize/NG\nick (49).bmp.png,nick
../PCB_imgs/all/resize/OK\ok (106).bmp.png,OK
